Start,Finish,2019,2020
11-Mar,12-Mar,4.42266308834018,,5.30250136343405
12-Mar,13-Mar,6.5553043427396,1.54270381948436
13-Mar,14-Mar,4.61027363820071,1.12960348885463
14-Mar,15-Mar,6.97897361444388,0.2171255828317
15-Mar,16-Mar,4.77984890297205,3.14633551706333
16-Mar,17-Mar,2.87692645270536,0.624018488516634
17-Mar,18-Mar,4.1363893096646,0.319215110744799
18-Mar,19-Mar,4.94973779323909,4.63987345265142
19-Mar,20-Mar,7.01443162029004,2.55233354721158
20-Mar,21-Mar,5.14848078983063,0.401107560824517
21-Mar,22-Mar,7.33185206891123,2.57125616753979
22-Mar,23-Mar,1.02368854142279,0.158666360726985
23-Mar,24-Mar,6.2124963303761,2.28645027871349
24-Mar,25-Mar,4.50116578909135,1.10027332901389
25-Mar,26-Mar,3.34626399707091,0.516449083000576
26-Mar,27-Mar,5.83227445884351,0.152704411469299
27-Mar,28-Mar,4.77721789652002,3.51616399241496
28-Mar,29-Mar,8.83643994488203,0.325559962339537
29-Mar,30-Mar,8.48533323492023,2.99693065310898
30-Mar,31-Mar,3.36480154364582,0.671629222447329
31-Mar,01-Apr,5.37793186805468,0.448148981259252
01-Apr,02-Apr,5.14464102584455,0.590884496616995
02-Apr,03-Apr,4.46564993416257,1.31732963304315
03-Apr,04-Apr,5.29690307796232,2.81046621385669
04-Apr,05-Apr,8.45669069960527,2.93988966980477
05-Apr,06-Apr,4.38941848411959,1.66790604159324
06-Apr,07-Apr,6.92529981387961,0.879528663228283
07-Apr,08-Apr,1.48432481889091,2.34806556552203
08-Apr,09-Apr,5.95425689057114,1.99840472331782
09-Apr,10-Apr,6.90368975485395,2.30910789674191
10-Apr,11-Apr,11.3155270000706,0.792078507147557
11-Apr,12-Apr,6.80560899127558,2.60009323788635
12-Apr,13-Apr,3.91290181473691,3.50528980085654
13-Apr,14-Apr,3.75931657236261,0.874743339964149
14-Apr,15-Apr,2.36813200307316,0.203083753772677
15-Apr,16-Apr,5.39401044971461,0.613479231144766
16-Apr,17-Apr,6.16586520194043,2.46529408458335
17-Apr,18-Apr,6.64268434945657,3.0929618298892
18-Apr,19-Apr,6.91225607273011,2.59963989923169
19-Apr,20-Apr,4.93322198805798,9.52677677648784
20-Apr,21-Apr,4.77152703613287,2.49691228925027
21-Apr,22-Apr,2.51187738120481,5.89874717480518
22-Apr,23-Apr,4.09970935688858,0.649275263226751
23-Apr,24-Apr,6.98914987805154,0.889506730463403
24-Apr,25-Apr,6.8672758415973,2.69271609665528
25-Apr,26-Apr,6.5861611281884,3.22275248635703
26-Apr,27-Apr,4.91362889378203,3.16535652319245
11-Mar,12-Mar,2020,5.30250136343405
12-Mar,13-Mar,2020,1.54270381948436
13-Mar,14-Mar,2020,1.12960348885463
14-Mar,15-Mar,2020,0.2171255828317
15-Mar,16-Mar,2020,3.14633551706333
16-Mar,17-Mar,2020,0.624018488516634
17-Mar,18-Mar,2020,0.319215110744799
18-Mar,19-Mar,2020,4.63987345265142
19-Mar,20-Mar,2020,2.55233354721158
20-Mar,21-Mar,2020,0.401107560824517
21-Mar,22-Mar,2020,2.57125616753979
22-Mar,23-Mar,2020,0.158666360726985
23-Mar,24-Mar,2020,2.28645027871349
24-Mar,25-Mar,2020,1.10027332901389
25-Mar,26-Mar,2020,0.516449083000576
26-Mar,27-Mar,2020,0.152704411469299
27-Mar,28-Mar,2020,3.51616399241496
28-Mar,29-Mar,2020,0.325559962339537
29-Mar,30-Mar,2020,2.99693065310898
30-Mar,31-Mar,2020,0.671629222447329
31-Mar,01-Apr,2020,0.448148981259252
01-Apr,02-Apr,2020,0.590884496616995
02-Apr,03-Apr,2020,1.31732963304315
03-Apr,04-Apr,2020,2.81046621385669
04-Apr,05-Apr,2020,2.93988966980477
05-Apr,06-Apr,2020,1.66790604159324
06-Apr,07-Apr,2020,0.879528663228283
07-Apr,08-Apr,2020,2.34806556552203
08-Apr,09-Apr,2020,1.99840472331782
09-Apr,10-Apr,2020,2.30910789674191
10-Apr,11-Apr,2020,0.792078507147557
11-Apr,12-Apr,2020,2.60009323788635
12-Apr,13-Apr,2020,3.50528980085654
13-Apr,14-Apr,2020,0.874743339964149
14-Apr,15-Apr,2020,0.203083753772677
15-Apr,16-Apr,2020,0.613479231144766
16-Apr,17-Apr,2020,2.46529408458335
17-Apr,18-Apr,2020,3.0929618298892
18-Apr,19-Apr,2020,2.59963989923169
19-Apr,20-Apr,2020,9.52677677648784
20-Apr,21-Apr,2020,2.49691228925027
21-Apr,22-Apr,2020,5.89874717480518
22-Apr,23-Apr,2020,0.649275263226751
23-Apr,24-Apr,2020,0.889506730463403
24-Apr,25-Apr,2020,2.69271609665528
25-Apr,26-Apr,2020,3.22275248635703
26-Apr,27-Apr,2020,3.16535652319245