Start,Finish,Distance (mi)
11-Mar-2019 00:00,12-Mar-2019 00:00,4.42266308834018
12-Mar-2019 00:00,13-Mar-2019 00:00,6.5553043427396
13-Mar-2019 00:00,14-Mar-2019 00:00,4.61027363820071
14-Mar-2019 00:00,15-Mar-2019 00:00,6.97897361444388
15-Mar-2019 00:00,16-Mar-2019 00:00,4.77984890297205
16-Mar-2019 00:00,17-Mar-2019 00:00,2.87692645270536
17-Mar-2019 00:00,18-Mar-2019 00:00,4.1363893096646
18-Mar-2019 00:00,19-Mar-2019 00:00,4.94973779323909
19-Mar-2019 00:00,20-Mar-2019 00:00,7.01443162029004
20-Mar-2019 00:00,21-Mar-2019 00:00,5.14848078983063
21-Mar-2019 00:00,22-Mar-2019 00:00,7.33185206891123
22-Mar-2019 00:00,23-Mar-2019 00:00,1.02368854142279
23-Mar-2019 00:00,24-Mar-2019 00:00,6.2124963303761
24-Mar-2019 00:00,25-Mar-2019 00:00,4.50116578909135
25-Mar-2019 00:00,26-Mar-2019 00:00,3.34626399707091
26-Mar-2019 00:00,27-Mar-2019 00:00,5.83227445884351
27-Mar-2019 00:00,28-Mar-2019 00:00,4.77721789652002
28-Mar-2019 00:00,29-Mar-2019 00:00,8.83643994488203
29-Mar-2019 00:00,30-Mar-2019 00:00,8.48533323492023
30-Mar-2019 00:00,31-Mar-2019 00:00,3.36480154364582
31-Mar-2019 00:00,01-Apr-2019 00:00,5.37793186805468
01-Apr-2019 00:00,02-Apr-2019 00:00,5.14464102584455
02-Apr-2019 00:00,03-Apr-2019 00:00,4.46564993416257
03-Apr-2019 00:00,04-Apr-2019 00:00,5.29690307796232
04-Apr-2019 00:00,05-Apr-2019 00:00,8.45669069960527
05-Apr-2019 00:00,06-Apr-2019 00:00,4.38941848411959
06-Apr-2019 00:00,07-Apr-2019 00:00,6.92529981387961
07-Apr-2019 00:00,08-Apr-2019 00:00,1.48432481889091
08-Apr-2019 00:00,09-Apr-2019 00:00,5.95425689057114
09-Apr-2019 00:00,10-Apr-2019 00:00,6.90368975485395
10-Apr-2019 00:00,11-Apr-2019 00:00,11.3155270000706
11-Apr-2019 00:00,12-Apr-2019 00:00,6.80560899127558
12-Apr-2019 00:00,13-Apr-2019 00:00,3.91290181473691
13-Apr-2019 00:00,14-Apr-2019 00:00,3.75931657236261
14-Apr-2019 00:00,15-Apr-2019 00:00,2.36813200307316
15-Apr-2019 00:00,16-Apr-2019 00:00,5.39401044971461
16-Apr-2019 00:00,17-Apr-2019 00:00,6.16586522019043
17-Apr-2019 00:00,18-Apr-2019 00:00,6.64268434945657
18-Apr-2019 00:00,19-Apr-2019 00:00,6.91225607273011
19-Apr-2019 00:00,20-Apr-2019 00:00,4.93322198805798
20-Apr-2019 00:00,21-Apr-2019 00:00,4.77152703613287
21-Apr-2019 00:00,22-Apr-2019 00:00,2.51187738120481
22-Apr-2019 00:00,23-Apr-2019 00:00,4.09970935688858
23-Apr-2019 00:00,24-Apr-2019 00:00,6.98914987805154
24-Apr-2019 00:00,25-Apr-2019 00:00,6.8672758415973
25-Apr-2019 00:00,26-Apr-2019 00:00,6.5861611281884
26-Apr-2019 00:00,27-Apr-2019 00:00,4.91362889378203


11-Mar-2020 00:00,12-Mar-2020 00:00,5.30250136343405
12-Mar-2020 00:00,13-Mar-2020 00:00,1.54270381948436
13-Mar-2020 00:00,14-Mar-2020 00:00,1.12960348885463
14-Mar-2020 00:00,15-Mar-2020 00:00,0.2171255828317
15-Mar-2020 00:00,16-Mar-2020 00:00,3.14633551706333
16-Mar-2020 00:00,17-Mar-2020 00:00,0.624018488516634
17-Mar-2020 00:00,18-Mar-2020 00:00,0.319215110744799
18-Mar-2020 00:00,19-Mar-2020 00:00,4.63987345265142
19-Mar-2020 00:00,20-Mar-2020 00:00,2.55233354721158
20-Mar-2020 00:00,21-Mar-2020 00:00,0.401107560824517
21-Mar-2020 00:00,22-Mar-2020 00:00,2.57125616753979
22-Mar-2020 00:00,23-Mar-2020 00:00,0.158666360726985
23-Mar-2020 00:00,24-Mar-2020 00:00,2.28645027871349
24-Mar-2020 00:00,25-Mar-2020 00:00,1.10027332901389
25-Mar-2020 00:00,26-Mar-2020 00:00,0.516449083000576
26-Mar-2020 00:00,27-Mar-2020 00:00,0.152704411469299
27-Mar-2020 00:00,28-Mar-2020 00:00,3.51616399241496
28-Mar-2020 00:00,29-Mar-2020 00:00,0.325559962339537
29-Mar-2020 00:00,30-Mar-2020 00:00,2.99693065310898
30-Mar-2020 00:00,31-Mar-2020 00:00,0.671629222447329
31-Mar-2020 00:00,01-Apr-2020 00:00,0.448148981259252
01-Apr-2020 00:00,02-Apr-2020 00:00,0.590884496616995
02-Apr-2020 00:00,03-Apr-2020 00:00,1.31732963304315
03-Apr-2020 00:00,04-Apr-2020 00:00,2.81046621385669
04-Apr-2020 00:00,05-Apr-2020 00:00,2.93988966980477
05-Apr-2020 00:00,06-Apr-2020 00:00,1.66790604159324
06-Apr-2020 00:00,07-Apr-2020 00:00,0.879528663228283
07-Apr-2020 00:00,08-Apr-2020 00:00,2.34806556552203
08-Apr-2020 00:00,09-Apr-2020 00:00,1.99840472331782
09-Apr-2020 00:00,10-Apr-2020 00:00,2.30910789674191
10-Apr-2020 00:00,11-Apr-2020 00:00,0.792078507147557
11-Apr-2020 00:00,12-Apr-2020 00:00,2.60009323788635
12-Apr-2020 00:00,13-Apr-2020 00:00,3.50528980085654
13-Apr-2020 00:00,14-Apr-2020 00:00,0.874743339964149
14-Apr-2020 00:00,15-Apr-2020 00:00,0.203083753772677
15-Apr-2020 00:00,16-Apr-2020 00:00,0.613479231144766
16-Apr-2020 00:00,17-Apr-2020 00:00,2.46529408458335
17-Apr-2020 00:00,18-Apr-2020 00:00,3.0929618298892
18-Apr-2020 00:00,19-Apr-2020 00:00,2.59963989923169
19-Apr-2020 00:00,20-Apr-2020 00:00,9.52677677648784
20-Apr-2020 00:00,21-Apr-2020 00:00,2.49691228925027
21-Apr-2020 00:00,22-Apr-2020 00:00,5.89874717480518
22-Apr-2020 00:00,23-Apr-2020 00:00,0.649275263226751
23-Apr-2020 00:00,24-Apr-2020 00:00,0.889506730463403
24-Apr-2020 00:00,25-Apr-2020 00:00,2.69271609665528
25-Apr-2020 00:00,26-Apr-2020 00:00,3.22275248635703
26-Apr-2020 00:00,27-Apr-2020 00:00,3.16535652319245
